StreetAddress,MainAddress,X,Y
3630 SPINNAKER DR,"ANCHORAGE, AK  99516-3429",-149.829305,61.10065
9177 JAMES BLVD,"JUNEAU, AK  99801-9617",-134.585619,58.37361
10821 SUSHANA CIR,"EAGLE RIVER, AK  99577-8394",-149.528306,61.318491
1624 HILTON AVE,"FAIRBANKS, AK  99701-4018",-147.753998,64.838329
824 BROOKS AVE,"SOLDOTNA, AK  99669-8204",-151.125283,60.475465
520 PINE AVE,"KENAI, AK  99611-7557",-151.274853,60.569625
342 HOLLAND CIR,"KODIAK, AK  99615-7039",-152.362316,57.814804
2750 US HIGHWAY 278 E,"HOKES BLUFF, AL  35903-7608",-85.916208,33.993934
531 E LAKESIDE DR,"FLORENCE, AL  35630-4118",-87.618445,34.813344
5612 11TH AVE S,"BIRMINGHAM, AL  35222-4138",-86.745331,33.527431
2811 MONROE ST,"SELMA, AL  36701-7843",-87.016163,32.365909
621 LANIER PL,"TUSCALOOSA, AL  35406-3049",-87.561172,33.225632
12694 BEAR CREEK RD,"DUNCANVILLE, AL  35456-2536",-87.491348,33.117867
1851 ROSEDALE RD,"MOBILE, AL  36605-3127",-88.079868,30.623384
744 IRVIN LN,"ALBERTVILLE, AL  35950-4421",-86.271011,34.277172
207 6TH PL SE,"LAFAYETTE, AL  36862-2630",-85.387543,32.896366
3003 PERKINS PL NW,"HUNTSVILLE, AL  35816-3849",-86.61413,34.734581
278 HINWAL CIR,"BRUNDIDGE, AL  36010-1511",-85.817694,31.723119
307 HOLLY LN,"DOTHAN, AL  36301-1436",-85.407066,31.223301
960 TULIP POPLAR LN,"HOOVER, AL  35244-1637",-86.810489,33.352335
3019 N COLONIAL DR,"MONTGOMERY, AL  36111-2905",-86.259895,32.336578
2528 RIDGEWOOD LN,"MOODY, AL  35004-3409",-86.516571,33.593004
515 HORTON LN,"FAIRHOPE, AL  36532-1448",-87.907959,30.510517
117 HICKORY ST,"MAYLENE, AL  35114-6037",-86.857191,33.231379
13573 DATE ST,"NORTHPORT, AL  35475-4754",-87.598877,33.305798
301 LUGENIA DR,"GADSDEN, AL  35904-3551",-86.00957,34.036081
5516 TAYLOR AVE,"ANNISTON, AL  36206-1482",-85.837402,33.71946
3850 BLACK HAWK DR,"BESSEMER, AL  35022-7902",-86.966324,33.28265
617 YELLOWBIRD LN,"HUEYTOWN, AL  35023-1101",-86.983688,33.46278
1211 AVENUE A SE,"CULLMAN, AL  35055-5034",-86.829903,34.167669
6446 PINE TREE LN,"PINSON, AL  35126-3025",-86.607338,33.710354
511 EVANS AVE,"LINEVILLE, AL  36266-4721",-85.749128,33.302909
792 COUNTY ROAD 256,"FORT PAYNE, AL  35967-7004",-85.643165,34.384358
833 N 11TH AVE,"LANETT, AL  36863-1602",-85.197536,32.873877
920 COLONIAL DR,"ALABASTER, AL  35007-9324",-86.83759,33.25528
486 FIELDSTONE DR,"HELENA, AL  35080-3527",-86.854495,33.275365
902 ETHEL ST,"TUSKEGEE INST, AL  36088-2916",-85.713737,32.398055
1908 BEVERLY AVE,"MUSCLE SHOALS, AL  35661-3200",-87.675898,34.742768
975 ELEANOR TER,"CHILDERSBURG, AL  35044-2032",-86.354652,33.266197
903 N COLUMBIA AVE,"SHEFFIELD, AL  35660-7526",-87.696635,34.767199
506 BOXWOOD RD,"PRATTVILLE, AL  36067-2108",-86.45578,32.474361
107 GRACE CIR,"LINDEN, AL  36748-2408",-87.777697,32.298631
203 OLD MEMPHIS RD,"TUSCUMBIA, AL  35674-4341",-87.723331,34.716351
500 LOVOY ST,"MIDFIELD, AL  35228-2242",-86.910095,33.459625
834 WINDSORWOOD DR,"THOMASVILLE, AL  36784-2928",-87.745977,31.87922
1212 I ST,"ALEXANDER CITY, AL  35010-1036",-85.947474,32.959454
225 WELTON DR,"MADISON, AL  35757-8614",-86.728348,34.816341
122 ANTEBELLUM DR,"MERIDIANVILLE, AL  35759-2433",-86.563599,34.834415
611 6TH AVE,"OPELIKA, AL  36801-4011",-85.383439,32.654738
2985 GURLEY PIKE,"GURLEY, AL  35748-9227",-86.418205,34.764507
401 SPRING ST,"VALLEY, AL  36854-4916",-85.184433,32.788825
203 ARROWHEAD DR,"TROY, AL  36081-4403",-85.947529,31.823505
2108 FINLEY ST SW,"JACKSONVILLE, AL  36265-2720",-85.768524,33.805222
102 CREEKSIDE DR,"DAPHNE, AL  36526-7976",-87.883064,30.633753
613 PARK LN,"FULTONDALE, AL  35068-1913",-86.789909,33.598675
300 MEMORY LN,"HAYDEN, AL  35079-4465",-86.714787,33.931902
215 WEATHERLY WAY,"PELHAM, AL  35124-2803",-86.761554,33.278066
330 LYNN DR,"MULGA, AL  35118-9667",-87.028862,33.500233
1304 ALVES RD,"GUNTERSVILLE, AL  35976-1012",-86.313461,34.354218
25756 SMITHFIELD RD,"ELKMONT, AL  35620-5626",-86.981005,34.932676
109 FRANKLIN DR S,"TALLADEGA, AL  35160-1339",-86.077377,33.458073
74 ROSE HILL RD,"NAUVOO, AL  35578-5019",-87.402079,33.947324
301 MARSHALL DR,"GARDENDALE, AL  35071-2518",-86.805809,33.655511
36226 BOYKIN BLVD,"LILLIAN, AL  36549-4114",-87.409477,30.42065
483 COUNTY ROAD 789,"CLANTON, AL  35045-6075",-86.568167,32.770897
407 RIVER OAK WAY,"PHENIX CITY, AL  36867-1306",-85.007624,32.515862
1601 W JACKSON ST,"DEMOPOLIS, AL  36732-1509",-87.857485,32.511106
312 JAMES ST,"PIEDMONT, AL  36272-6303",-85.610527,33.94091
305 CELIA ST,"BOAZ, AL  35957-5864",-86.158783,34.238647
8021 N LAKE DR,"TRUSSVILLE, AL  35173-2823",-86.550209,33.628841
750 MAUD RD,"CHEROKEE, AL  35616-3600",-88.119542,34.646274
1203 COLUMBUS RD NW,"ALICEVILLE, AL  35442-1018",-88.159487,33.137748
605 MORGAN ST,"MOULTON, AL  35650-1917",-87.272673,34.47763
335 OSPREY DR,"PELL CITY, AL  35128-7178",-86.216133,33.533241
161 ANCHOR RIDGE RD,"WEDOWEE, AL  36278-4529",-85.507158,33.337685
110 FREEMAN AVE,"TALLASSEE, AL  36078-2022",-85.882703,32.535336
106 HOLLY HILL DR,"BAY MINETTE, AL  36507-8392",-87.779118,30.783305
48 BERKSHIRE DR,"LITTLE ROCK, AR  72204-3535",-92.344811,34.730899
937 STANLEY RD,"BALD KNOB, AR  72010-9165",-91.620559,35.424632
1412 N ST,"BARLING, AR  72923-1875",-94.312556,35.339319
1411 DORIS DR,"SEARCY, AR  72143-3101",-91.742688,35.264002
1217 KOEHLER AVE,"SHERWOOD, AR  72120-6045",-92.212601,34.808677
13 GREENE 723 RD,"PARAGOULD, AR  72450-9683",-90.604481,35.996481
809 SW 3RD ST,"BENTONVILLE, AR  72712-5768",-94.219788,36.370766
